"date","Total_expenditure","growth_rate"
2006-01-01,110694.833333333,-1.6667974481328
2006-02-01,108818.5,-1.69505050672345
2006-03-01,110269,1.33295349595888
2006-04-01,111719.5,1.31541956488224
2006-05-01,113170,1.2983409342147
2006-06-01,114258.5,0.961827339400911
2006-07-01,115347,0.952664353199095
2006-08-01,116435.5,0.943674304489939
2006-09-01,117237.666666667,0.688936507050397
2006-10-01,118039.833333333,0.684222647442656
2006-11-01,118842,0.679572856055644
2006-12-01,117152.333333333,-1.42177569097344
2007-01-01,115462.666666667,-1.44228170160219
2007-02-01,113773,-1.4633878771782
2007-03-01,115143.333333333,1.20444510853484
2007-04-01,116513.666666667,1.19011087629908
2007-05-01,117884,1.1761138178354
2007-06-01,119315.166666667,1.21404657686086
2007-07-01,120746.333333333,1.19948427903132
2007-08-01,122177.5,1.18526718547698
2007-09-01,123338.666666667,0.950393212061695
2007-10-01,124499.833333333,0.941445775317828
2007-11-01,125661,0.932665237838326
2007-12-01,124021.333333333,-1.30483337444924
2008-01-01,122381.666666667,-1.32208437258107
2008-02-01,120742,-1.3397976276403
2008-03-01,121625.5,0.73172549734144
2008-04-01,122509,0.726410168920166
2008-05-01,123392.5,0.721171505766915
2008-06-01,123997.833333333,0.490575467174548
2008-07-01,124603.166666667,0.488180573047625
2008-08-01,125208.5,0.485808948140698
2008-09-01,125276.166666667,0.0540431892935844
2008-10-01,125343.833333333,0.0540139984062105
2008-11-01,125411.5,0.053984839036092
2008-12-01,122879.333333333,-2.01908650057344
2009-01-01,120347.166666667,-2.06069368865935
2009-02-01,117815,-2.10405175028354
2009-03-01,118000.5,0.157450239782708
2009-04-01,118186,0.157202723717265
2009-05-01,118371.5,0.156955984634388
2009-06-01,119368.166666667,0.841981952299875
2009-07-01,120364.833333333,0.834951808759743
2009-08-01,121361.5,0.828038089752114
2009-09-01,122433.166666667,0.883036767563583
2009-10-01,123504.833333333,0.875307480679943
2009-11-01,124576.5,0.867712329746873
2009-12-01,122387,-1.75755459496775
2010-01-01,120197.5,-1.78899719741475
2010-02-01,118008,-1.82158530751472
