,Title,CPI.INDEX.00..ALL.ITEMS.2015.100,inflation,table57,GBRCPIALLMINMEI_PCH
431,2009 JAN,84.9,-0.701754386,-0.725163162,-0.57405
432,2009 FEB,85.6,0.824499411,0.865948774,0.69284
433,2009 MAR,85.8,0.23364486,0.170534849,0.11468
434,2009 APR,86,0.233100233,0.237875908,0.2291
435,2009 MAY,86.4,0.465116279,0.556053186,0.45714
436,2009 JUN,86.7,0.347222222,0.286900892,0.22753
437,2009 JUL,86.7,0,-0.035760016,-0.11351
438,2009 AUG,87,0.346020761,0.448891043,0.34091
439,2009 SEP,87.1,0.114942529,0.041356968,0
440,2009 OCT,87.2,0.114810563,0.174546123,0.11325
441,2009 NOV,87.5,0.344036697,0.280850576,0.22624
442,2009 DEC,88,0.571428571,0.562414266,0.3386
443,2010 JAN,87.8,-0.227272727,-0.163688446,-0.11249
444,2010 FEB,88.2,0.455580866,0.368902856,0.22523
445,2010 MAR,88.7,0.566893424,0.577411743,0.44944
446,2010 APR,89.2,0.563697858,0.574096841,0.55928
447,2010 MAY,89.4,0.224215247,0.227655041,0.22247
448,2010 JUN,89.5,0.111856823,0.148814519,0.11099
449,2010 JUL,89.3,-0.223463687,-0.224565951,-0.22173
450,2010 AUG,89.8,0.559910414,0.513968983,0.44444
451,2010 SEP,89.8,0,0.001114032,0
452,2010 OCT,90,0.222717149,0.256224586,0.22124
453,2010 NOV,90.3,0.333333333,0.373354075,0.33113
454,2010 DEC,91.2,0.996677741,0.995228659,0.88009
455,2011 JAN,91.3,0.109649123,0.089882714,0.10905
456,2011 FEB,92,0.766703176,0.73922376,0.54466
457,2011 MAR,92.2,0.217391304,0.276125974,0.32503
458,2011 APR,93.2,1.084598698,0.999555512,0.75594
459,2011 MAY,93.4,0.214592275,0.203943626,0.21436
460,2011 JUN,93.3,-0.107066381,-0.093194648,0
461,2011 JUL,93.3,0,-0.004288808,0
462,2011 AUG,93.8,0.535905681,0.587591945,0.42781
463,2011 SEP,94.4,0.639658849,0.642788615,0.63898
464,2011 OCT,94.5,0.105932203,0.069905627,0
465,2011 NOV,94.6,0.105820106,0.164057621,0.21164
466,2011 DEC,95.1,0.528541226,0.449098633,0.31679
467,2012 JAN,94.6,-0.525762355,-0.507053514,-0.31579
468,2012 FEB,95.1,0.528541226,0.602683528,0.52798
469,2012 MAR,95.4,0.315457413,0.300587512,0.21008
470,2012 APR,96,0.628930818,0.593086249,0.52411
471,2012 MAY,95.9,-0.104166667,-0.059375618,0
472,2012 JUN,95.5,-0.417101147,-0.408580184,-0.31283
473,2012 JUL,95.6,0.104712042,0.104657248,0.1046
474,2012 AUG,96.1,0.523012552,0.5060115,0.41797
475,2012 SEP,96.5,0.416233091,0.372396863,0.31217
476,2012 OCT,97,0.518134715,0.527504871,0.41494
477,2012 NOV,97.2,0.206185567,0.157730333,0.20661
478,2012 DEC,97.6,0.411522634,0.463182164,0.30928
479,2013 JAN,97.1,-0.512295082,-0.47129216,-0.30832
480,2013 FEB,97.8,0.720906282,0.670139175,0.51546
481,2013 MAR,98.1,0.306748466,0.347666036,0.30769
482,2013 APR,98.3,0.203873598,0.191572833,0.2045
483,2013 MAY,98.5,0.2034588,0.21256471,0.20408
484,2013 JUN,98.3,-0.203045685,-0.195875452,-0.20367
485,2013 JUL,98.3,0,-0.044743184,0
486,2013 AUG,98.7,0.406917599,0.432371942,0.40816
487,2013 SEP,99.1,0.40526849,0.354538088,0.30488
488,2013 OCT,99.1,0,0.056525689,0.10132
489,2013 NOV,99.2,0.100908174,0.053467304,0
490,2013 DEC,99.6,0.403225806,0.413393964,0.40486
491,2014 JAN,99,-0.602409639,-0.612517447,-0.50403
492,2014 FEB,99.5,0.505050505,0.50717829,0.40527
493,2014 MAR,99.7,0.201005025,0.231199928,0.20182
494,2014 APR,100.1,0.401203611,0.356028924,0.30211
495,2014 MAY,100,-0.0999001,-0.061959107,0
496,2014 JUN,100.2,0.2,0.19899204,0.2008
497,2014 JUL,99.9,-0.299401198,-0.340309172,-0.2004
498,2014 AUG,100.2,0.3003003,0.387534798,0.3012
499,2014 SEP,100.3,0.099800399,0.035910583,0.1001
500,2014 OCT,100.4,0.099700897,0.118661814,0.1
501,2014 NOV,100.1,-0.298804781,-0.260945779,-0.1998
502,2014 DEC,100.1,0,-0.007988656,0
503,2015 JAN,99.3,-0.799200799,-0.874827731,-0.7007
504,2015 FEB,99.5,0.201409869,0.255898769,0.30242
505,2015 MAR,99.7,0.201005025,0.189926843,0.1005
506,2015 APR,99.9,0.200601805,0.244731748,0.3012
507,2015 MAY,100.1,0.2002002,0.170093551,0.2002
508,2015 JUN,100.2,0.0999001,0.047944863,0
509,2015 JUL,100,-0.199600798,-0.154747761,-0.0999
510,2015 AUG,100.3,0.3,0.248980082,0.3
511,2015 SEP,100.2,-0.099700897,-0.096751349,-0.0997
512,2015 OCT,100.3,0.099800399,0.13278754,0.0998
513,2015 NOV,100.3,0,-0.039883142,0
514,2015 DEC,100.3,0,0.08279054,0.0997
515,2016 JAN,99.5,-0.797607178,-0.784364535,-0.49801
516,2016 FEB,99.8,0.301507538,0.247114486,0.2002
517,2016 MAR,100.2,0.400801603,0.367753895,0.2997
518,2016 APR,100.2,0,0.069886783,0.1992
519,2016 MAY,100.4,0.199600798,0.18956022,0.19881
