"","term","estimate","std.error","statistic","p.value"
"25","lag7",0.143031996376379,0.0540840594546468,2.64462390247022,0.00860722912805486
"26","lag9",0.150409879705685,0.0540381627998115,2.78340106163287,0.00571947301953804
"27","CPI_lag3",1.29813783539929,0.593153700177022,2.18853534086,0.0293989003553523
"28","(Intercept)",0.963127461163065,0.527674312025023,1.82523090325722,0.0689570958056872
"29","lag2",-0.170605995493622,0.0556476762004364,-3.06582425614897,0.00236760851286512
"30","lag3",-0.109837384113959,0.0544055200406253,-2.01886470402162,0.0443876574952159
"31","lag4",-0.108388627534083,0.0545948177736021,-1.98532813102439,0.0480152587478842
"32","lag5",-0.125503159924575,0.05403433735672,-2.32265566793273,0.0208642751426663
"33","lag8",-0.137524459138602,0.0537861139300428,-2.55687665625879,0.0110521240849025
"34","lag12",0.22233270628768,0.0540362456671966,4.11451061306151,0.0000501339067833396
"35","(Intercept)",0.908077712856567,0.534284868795866,1.69961338209545,0.0902299456722563
"36","lag2",-0.152476029681832,0.0553950575892266,-2.75252046513778,0.00627047462825284
"37","lag8",-0.116803239228022,0.0578449715311295,-2.01924620474856,0.0443419075932098
"38","lag12",0.128371425217909,0.055338864962008,2.31973361408913,0.021019715522031
"39","CPI_lag8",1.82588225810758,0.708496773576604,2.57712148622814,0.0104355010594485
"40","(Intercept)",0.244227143085404,0.255451152407129,0.956062013359654,0.339808124478921
"41","lag1",-0.319293092947018,0.051348991039368,-6.21809867115449,0.00000000167803581411539
"42","lag10",-0.118250276683219,0.0517488320335008,-2.28508107403597,0.0230034854186952
"43","lag12",0.318772254188865,0.0517666678407769,6.15786697280459,0.00000000235480551411233
"44","CPI_lag1",0.527890195458937,0.219277984463827,2.40740171317117,0.0166681680367081
"45","CPI_lag6",0.485803072966845,0.217347026466171,2.23514938697566,0.0261409232314983
"46","CPI_lag10",0.438016992890149,0.215490179501216,2.0326540815178,0.0429649798830409
"47","(Intercept)",-0.0918202913540053,0.270682033729523,-0.339218270562264,0.73468503337673
"48","lag1",-0.597213502296973,0.0543127566691484,-10.9958237976201,0.00000000000000000000000803230529890599
"49","lag2",-0.295040709444123,0.0547804562948239,-5.38587535409049,0.000000146817922460591
"50","lag5",-0.156269861305854,0.0570290283357024,-2.74018102475758,0.00651224032973813
"51","lag6",-0.164680996276505,0.064248826188011,-2.5631751745098,0.0108645107453859
"52","lag7",-0.152834741605277,0.0563214686790457,-2.71361427870824,0.00704410856919648
