,cola,colB,colc,winner
118,HOUSEHOLD TEXTILES,8,NA,NA
119,FURNISHINGS FABRICS AND CURTAINS,..,NA,NA
120,BED LINEN,..,NA,NA
121,TABLE LINEN AND BATHROOM LINEN,..,NA,NA
122,"HOUSEHOLD APPLIANCES, FITTING AND REPAIRS",9,NA,NA
123,MAJOR APPLIANCES AND SMALL ELECTRIC GOODS,8,NA,NA
124,"REFRIGERATORS, FREEZERS AND FRIDGE-FREEZERS",..,NA,NA
125,"CLOTHES WASHING MACHINES, CLOTHES DRYING MACHINES AND DISH WASHING MACHINES",..,NA,NA
126,COOKERS,..,NA,NA
127,"HEATERS, AIR CONDITIONERS",..,NA,NA
128,CLEANING EQUIPMENT,..,NA,NA
129,"COFFEE MACHINES, TEA MAKERS AND SIMILAR APPLIANCES",..,NA,NA
130,IRONS,..,NA,NA
131,OTHER SMALL ELECTRIC HOUSEHOLD APPLIANCES,..,NA,NA
132,REPAIR OF HOUSEHOLD APPLIANCES,1,NA,NA
133,"GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",7,NA,NA
134,"GLASSWARE, CRYSTAL-WARE, CERAMIC WARE AND CHINAWARE",..,NA,NA
135,"CUTLERY, FLATWARE AND SILVERWARE",..,NA,NA
136,NON ELECTRIC KITCHEN UTENSILS AND ARTICLES,..,NA,NA
137,TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,5,NA,NA
138,MOTORIZED MAJOR TOOLS AND EQUIPMENT,..,NA,NA
139,"REPAIR, LEASING AND RENTAL OF MAJOR TOOLS AND EQUIPMENT",..,NA,NA
140,NON-MOTORIZED SMALL TOOLS,..,NA,NA
141,MISCELLANEOUS SMALL TOOL ACCESSORIES,..,NA,NA
142,GOODS AND SERVICES FOR ROUTINE MAINTENANCE,10,NA,NA
143,NON-DURABLE HOUSEHOLD GOODS,5,NA,NA
144,CLEANING AND MAINTANANCE PRODUCTS,..,NA,NA
145,OTHER NON-DURABLE SMALL HOUSEHOLD ARTICLES,..,NA,NA
146,DOMESTIC SERVICES AND HOUSEHOLD SERVICES,5,NA,NA
147,DOMESTIC SERVICES BY PAID STAFF,..,NA,NA
148,OTHER DOMESTIC SERVICES AND HOUSEHOLD SERVICES,..,NA,NA
149,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",10,NA,NA
150,PHARMACEUTICAL PRODUCTS,5,NA,NA
151,OTHER MEDICAL AND THERAPEUTIC EQUIPMENT,5,NA,NA
152,PREGNANCY TESTS AND MECHANICAL CONTRACEPTIVE DEVICES,..,NA,NA
153,OTHER MEDICAL PRODUCTS NEC,..,NA,NA
154,CORRECTIVE EYE-GLASSES AND CONTACT LENSES,..,NA,NA
155,OUT-PATIENT SERVICES,4,NA,NA
156,MEDICAL SERVICES AND PARAMEDICAL SERVICES,2,NA,NA
157,DENTAL SERVICES,2,NA,NA
158,HOSPITAL SERVICES,8,NA,NA
159,PURCHASE OF VEHICLES,48,NA,NA
160,A NEW CARS,26,NA,NA
161,B SECOND-HAND CARS,19,NA,NA
162,MOTORCYCLES AND BICYCLES,3,NA,NA
163,MOTOR CYCLES,..,NA,NA
164,BICYCLES,..,NA,NA
165,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,72,NA,NA
166,SPARE PARTS AND ACCESSORIES,5,NA,NA
167,TYRES,..,NA,NA
168,SPARE PARTS FOR PERSONAL TRANSPORT,..,NA,NA
169,FUELS AND LUBRICANTS,38,NA,NA
170,DIESEL,..,NA,NA
171,PETROL,..,NA,NA
