Title,change
2017 JAN,0.201612903225801
2017 FEB,0.402414486921532
2017 MAR,0.601202404809609
2017 APR,0
2017 MAY,0.199203187250996
2017 JUN,0.795228628230627
2017 JUL,-0.591715976331364
2017 AUG,0.595238095238093
2017 SEP,0.394477317554243
2017 OCT,-0.196463654223966
2017 NOV,0.196850393700787
2017 DEC,0.392927308447932
2018 JAN,-0.195694716242667
2018 FEB,0.588235294117645
2018 MAR,1.16959064327486
2018 APR,-1.15606936416185
2018 MAY,0.389863547758296
2018 JUN,0.582524271844664
2018 JUL,0.386100386100385
2018 AUG,0.576923076923075
2018 SEP,0.191204588910132
2018 OCT,1.14503816793894
2018 NOV,-0.943396226415094
2018 DEC,0.380952380952371
2019 JAN,0.379506641366234
2019 FEB,0.378071833648397
2019 MAR,0.376647834274957
