date,CPIH,01FB,02AT,03CF,04HW,05FH,06HL,07TR,08CM,09RC,10ED,11RH,12MS
1996/3/1,0.336695365,0.766277665,0.169085839,1.176289057,0.070074801,1.522332328,0.861279414,0.130709961,-0.047964337,0.035701535,0.057772459,0.189439667,0.1157335
1996/4/1,0.532783869,-0.042500228,0.719045949,0.379742975,0.928248054,-0.555241194,1.297476644,0.949845414,0.049869211,0.483898056,0.164968862,0.361479284,0.367107195
1996/5/1,0.446513534,0.739514684,0.420076615,0.348933196,0.65025171,0.599831668,-0.306854227,0.343695234,0.182449145,-0.139978481,0.185284308,0.328777244,0.031128889
1996/6/1,0.067043666,-0.114559624,0.114875263,-0.02775703,0.054505523,0.063631972,0.249005706,0.049173379,-0.108894626,-0.036612794,0.082196285,0.646194632,-0.074686085
1996/7/1,-0.454426287,-1.392892175,0.207837194,-5.332343899,0.214698861,-1.693418279,0.04484769,-0.016948004,-0.49995771,-0.14859774,0.262812089,0.462785125,0.337895704
1996/8/1,0.496005618,1.267178844,-0.257097178,1.201941023,0.252610037,1.023011775,0.34137931,0.833983117,0.150174259,0.142530759,0.061435125,0.345945159,-0.131909743
1996/9/1,0.461527262,-1.076016322,0.158121602,4.796505501,0.272705526,0.653362266,0.403793945,1.265844064,-0.037723037,-0.038721561,2.509107282,0.235883292,0.433546222
1996/10/1,0.084055535,-0.922729078,0.194636678,0.09905122,0.370570647,-0.340464634,-1.040507932,0.351931473,-1.939695838,0.246029503,0.199648618,0.206364722,0.816932789
1996/11/1,0.150593687,-0.481080581,-0.472695877,1.117618694,0.258283288,0.958685502,-0.05361003,-0.291144894,0.012507216,0.281978444,0.111580457,0.196907291,0.310006139
1996/12/1,0.287721936,0.170431657,0.245060831,0.002483744,0.162789227,0.999929747,1.211198394,0.758191622,0.012505652,0.06248568,0.262717936,0.221761471,0.142284508
1997/1/1,-0.295546617,0.69448741,1.635514019,-6.154067775,0.179881657,-3.676095525,-1.466817109,0.813409735,-0.655021834,-0.189421536,0.587581388,0.055767432,-0.209304102
1997/2/1,0.216894647,-0.112133454,0.781183482,0.264125976,0.099229788,0.574083212,0.985495177,0.445889001,-0.000968195,0.106360792,0.027628671,0.242722811,0.215866989
1997/3/1,0.199111214,-0.622808636,-0.160517034,1.439099586,0.110146022,2.249718785,1.627035943,-0.037398982,-0.567367646,-0.167704839,0.047350353,0.177565735,0.357475672
1997/4/1,0.42767042,0.332698884,0.801760064,0.377309394,0.774889189,-0.650703368,0.765836588,-0.117118876,0.061344914,0.576997318,0.118319858,0.508477611,0.618026274
1997/5/1,0.398606312,0.718714334,0.596012592,0.489954634,0.485065897,0.378136412,0.33722569,0.133541789,-0.034059614,0.147312073,0.094544022,0.39724246,0.108927518
1997/6/1,0.155667585,1.003001348,-0.300413068,-0.515426685,-0.021730357,-0.241752825,-0.819329488,0.552971408,-0.432217744,0.06940416,0.224329962,0.542938254,-0.006044944
1997/7/1,-0.238129189,-0.597340772,0.171584013,-5.110439216,0.007762529,-1.537556614,0.16521959,1.230873742,0.165229464,0.143887871,0.106023718,0.497652914,-0.197983889
1997/8/1,0.445950002,0.298939983,0.639204545,1.821639968,0.187838614,1.187603049,1.912039453,0.688641411,0.291846834,0.16642203,0.09414349,0.158038913,0.166575807
1997/9/1,0.33582355,-0.209850823,0.197185437,4.224369297,-0.054231615,0.534879327,-0.122215065,0.31736964,0.40973236,0.047470151,4.177607085,0.201619973,0.216188432
1997/10/1,0.068074485,0.07924051,0.043502579,-0.096822372,0.201541014,-0.286569969,-1.77263332,-0.267328925,-0.032954997,0.13615406,0.259564383,0.24670621,0.577773085
1997/11/1,0.048186624,-0.481157214,-0.538369156,1.254755596,-0.077359863,1.142507155,0.19695975,-0.199844565,-0.184220988,-0.020601354,0.1650908,0.256571369,0.416966643
1997/12/1,0.160072528,0.022950168,0.499646084,-0.353331704,0.216775312,1.194815479,1.424731183,-0.252689795,-0.022341593,0.0051514,0.138597543,0.144496092,0.002987304
1998/1/1,-0.466721353,-0.042830483,2.502382235,-7.317010862,0.060256787,-4.040415665,-1.300357805,0.379198267,-0.337141969,-0.138050399,0.280552127,0.429385995,0.183713705
1998/2/1,0.295555303,-0.074985462,0.737641971,0.755232882,0.118896884,1.216031468,2.146585435,0.165074125,-0.349006112,0.060867412,0,0.334077651,1.039135296
1998/3/1,0.262099059,-0.194495919,0.252773487,1.593797703,0.166566418,1.817535545,0.484703099,-0.110924476,0.000978292,-0.162901713,0.022381379,0.251880478,0.156406776
1998/4/1,0.617502014,0.308424122,0.694374962,-0.23696172,1.130152278,-1.287034236,0.549405628,1.541976014,-0.066523185,0.340792912,0,0.382034073,0.63790919
1998/5/1,0.476083476,1.479249208,0.421303657,1.246464123,0.168998645,0.961946527,0.086188672,0.224971879,-0.101809069,0.040138736,0.041023346,0.624014263,0.402570596
1998/6/1,-0.139772171,-0.372335615,-0.191957571,-0.275122232,-0.104875973,-0.576806315,0.792902869,-0.127821424,-0.146989652,-0.109051254,0.026095061,0.211258007,0.290146677
1998/7/1,-0.37091469,-0.264786431,0.333102012,-6.419050776,0.174976797,-1.174398121,-0.083824999,-0.071796473,-0.371940568,-0.045315976,0.044722719,0.391023461,0.090135931
1998/8/1,0.320314695,1.13781176,0.065213525,1.926515874,0.063792946,0.484848485,-0.004840115,0.0328002,-0.965336538,0.004121502,0.048427954,0.394580864,0.434296338
1998/9/1,0.400515348,-0.42600426,0.047397109,5.072224122,0.248937462,0.714302609,-0.022588296,-0.167070029,-0.157152946,0.021636993,5.045239602,0.200732082,0.102681283
1998/10/1,0.030685971,0.132566057,0.134228188,-0.769797068,0.218036461,-0.610600972,0.330831921,-0.284650755,0.074715335,0.183359601,0.067347228,0.271034645,0.365517142
1998/11/1,0.121311841,-0.180532571,-0.530279136,0.826304104,0.200942769,1.36457078,0.242882419,-0.393688437,-0.290674524,-0.070947509,0.060217491,0.263586455,0.012955232
1998/12/1,0.31614278,0.795779955,1.351592382,-0.582257153,0.248789976,2.310104083,-0.292036392,-0.744823242,0.015973803,0.008231638,0.092041914,0.252846618,0.246117532
1999/1/1,-0.362349021,0.351386106,2.04337029,-7.386808543,0.362482327,-4.742592192,-0.05471604,0.555273512,-0.043920942,0.061732206,0.077810002,0.372467472,0.099066762
1999/2/1,0.218757402,0.116221894,0.116889587,0.809585305,0.238284353,1.152889399,0.45890025,-0.05995393,-0.171766398,-0.251917659,0.003534068,0.247944886,0.259613592
1999/3/1,0.454633929,-0.669732553,1.80871629,1.533211933,0.133062225,1.622132892,-0.017631031,1.480803233,-0.035012605,0.040202455,0.010601831,0.132795512,-0.258941345
1999/4/1,0.510705438,-0.497445348,0.689953376,-0.484305339,1.003359462,-1.491530156,0.219625194,1.694097881,-0.310220256,0.516239387,0.088339223,0.490691776,0.784578092
1999/5/1,0.216187932,0.618892018,0.145633787,0.78343529,-0.066521797,1.013345931,0.255934481,-0.033654067,-0.553107339,0.162995008,0.045895852,0.420660189,0.179318589
1999/6/1,-0.10579975,-0.61807842,0.458638626,-0.130873808,-0.054732109,-0.743616126,-0.025528113,-0.099465944,-0.454233456,0.024562984,0.056461289,0.294050005,0.257131492
1999/7/1,-0.441528431,-0.911048534,0.605014569,-5.675052814,0.113964331,-1.533713424,0.263325886,0.076588444,-0.449208055,-0.302869071,0.049375749,0.152326667,0.494523401
1999/8/1,0.268026139,-0.268988785,0.280396244,1.862974651,0.1448804,0.735733939,0.480700358,0.480607341,0.155844156,-0.031815756,0,0.137376116,0.273539945
1999/9/1,0.333448157,-0.153904762,-0.110373246,4.242748469,0.104812518,0.832492132,0.58928826,-0.166037046,-0.472907005,0.136543299,5.213620981,0.155152703,-0.05905844
1999/10/1,-0.054932227,-0.154141994,0.057089188,-0.8527005,0.060462167,-0.683108379,0.198428322,-0.059506553,-1.508230894,0.456232443,0.016752102,0.203832042,0.054872387
1999/11/1,0.166261319,0.395885239,-0.340499153,0.28724681,0.206331427,1.323435239,0.295481336,-0.396946565,0.131760507,0.07654389,0.113895216,0.048820179,-0.04781123
1999/12/1,0.281214848,0.152248713,-0.376752175,-0.817868324,0.354453465,2.003698415,-0.125366305,0.438381361,0.551215368,-0.066287299,0.043498628,0.131750163,-0.106923283
2000/1/1,-0.657975733,-0.066887598,0.884266726,-7.669125636,0.312165668,-4.964774996,0.324792494,-0.38763239,-0.035034932,-0.141846867,0,0.172186937,0.005633565
2000/2/1,0.256120735,-0.038029754,0.551267916,1.521129203,0.026298104,0.510703032,0.073506412,0.764493198,-0.518492558,0.043943017,0,0.24972838,-0.209838467
2000/3/1,0.204647841,-0.768493297,0.020102339,1.238446756,0.051121757,1.005405405,0.3672621,0.82863268,-0.318105047,-0.066396314,0,0.221607544,0.158062604
2000/4/1,0.457803912,-0.317445712,3.354588807,0.358552532,0.462780479,-0.077300891,0.515399707,0.848965559,-0.607055986,0.178878077,0,0.571354789,-0.094406087
2000/5/1,0.266062682,1.009215243,0.068944791,-0.133901765,0.124970937,0.199947633,0.246309234,0.131580915,-0.470622686,0.230595774,0,0.627487482,0.47388686
2000/6/1,0.121111504,0.335074706,0.143094372,-0.496641955,0.00870802,-0.617650552,-0.156076153,1.202084609,-0.138702085,-0.127248481,0,0.269524584,-0.325664313
2000/7/1,-0.394155624,0.821227439,-0.13406954,-7.75087467,0.105938353,-1.905103382,0.407051431,0.06049696,0.879666653,-0.165124149,0,0.389680621,0.223921585
2000/8/1,0.043665143,-0.853684242,0.279097702,1.74369858,0.108725591,0.653053268,0.536424454,-0.983587218,-2.073598131,0.204194148,0,0.546603926,0.52412669
2000/9/1,0.617864888,0.323457503,0.546072681,3.850610973,0.244728916,1.490098291,0.220784398,0.311262026,-0.715776916,0.556314063,5.732633198,0.283634301,0.17193419
2000/10/1,0.01762234,-0.033301041,-0.036791114,0.174821923,0.261466233,-1.023341245,0.188171221,-0.721549996,-0.069733511,0.293843473,0.765507861,0.257691462,0.393513996
2000/11/1,0.260222544,0.599618425,-0.133197799,0.633706502,0.272310751,1.19901187,-0.088564492,0.139077899,0.222229379,-0.277828292,0,0.197473592,0.202935617
2000/12/1,0.039202433,0.180619525,-0.442244919,-0.77669067,0.156620447,1.458680638,0.232305788,-0.425614528,-1.162242646,-0.050654969,0,0.165801164,0.180330143
2001/1/1,-0.659423815,0.237386941,0.701568835,-7.086458011,0.098990015,-3.715744381,0.646509004,-0.557913523,-2.932729302,-0.30915191,0,0.137418408,0.265854334
2001/2/1,0.262527885,0.190359134,0.700182047,1.294058006,0.210683216,0.80327649,0.169678973,-0.313701832,-1.018277637,0.414836506,0,0.185572155,0.368723416
2001/3/1,0.312037879,1.270140478,0.764844945,1.46388684,0.118707094,1.318048804,0.671516508,-0.535576501,-1.458528387,-0.027339004,0,0.359561055,0.207762903
2001/4/1,0.632954192,0.255569343,0.307065967,-1.027395038,1.135665614,-0.475008354,0.712107327,1.51194804,-0.232377115,0.48514681,0,0.628140704,0.569820129
2001/5/1,0.631661,2.753996906,-0.118666804,0.225579687,0.180796068,0.647559659,0.745856766,1.219713203,0.376341002,0.328589284,0,0.434641883,0.518806744
2001/6/1,0.162933878,0.58794849,0.206622243,-0.098796127,0.049347207,-0.208507089,-0.621881339,0.463353614,-0.249191271,0.112519842,0,0.319199546,0.328692699
2001/7/1,-0.600008,-2.038663321,-0.085915082,-7.181263876,-0.043685968,-1.833920363,0.582564775,0.417010492,0.974044577,0.160561967,0,0.29829741,-0.538806233
2001/8/1,0.372909093,-0.247402276,0.187455931,2.88941887,0.235443395,0.796652842,0.269597677,0.152611267,1.554786359,0.217413085,0,0.245554098,0.251806885
2001/9/1,0.28064736,-0.140056022,0.466904697,3.118249337,0.310842933,1.43350146,0.214211848,-1.623419437,0.055875286,0.193947634,4.398053681,0.232781049,0.547152904
2001/10/1,-0.118608153,0.157784011,0.177692728,-0.679674927,-0.015423876,-0.957626514,0.084027419,-0.746168625,0.581895348,-0.013969128,0.517199904,0.341530055,-0.114776456
2001/11/1,-0.128088808,-0.185250015,-0.347932869,0.45666381,0.02664535,1.241937615,0.558239557,-2.067765073,-0.370880341,0.04889878,0,0.198169579,0.016222354
2001/12/1,0.212419174,0.552397375,-0.58362429,-0.384600003,0.047668452,1.55888529,0.071772788,0.265077225,0.012260092,0.220435685,0,0.144936288,0.30817474
2002/1/1,-0.231965978,0.760097083,0.816017353,-5.910377453,0.325112108,-3.378307342,0.642564403,0.120726806,-0.363300012,-0.195069518,0,0.164324911,0.382687436
2002/2/1,0.155003541,0.018750901,0.16905449,-0.143653638,0.205330204,0.870479852,-0.094533079,0.145002747,0.235999418,0.116672151,0,0.155024759,-0.052351804
2002/3/1,0.324203167,0.162958049,0,1.039782358,0.058545561,1.401124255,0.397414621,0.670619256,-0.563502868,0.323711628,0,0.387713393,0.149079334
2002/4/1,0.578488217,-0.224602626,0.122741221,-0.456038457,1.157687968,-1.216283303,0.794582916,1.47613208,0.115583585,0.419963663,0,0.459567079,0.80195258
2002/5/1,0.23270881,-0.268398268,0.876864401,0.374574267,0.227235168,0.830411736,0.335179458,0.417748336,-0.205120158,-0.122595061,0,0.359117257,0.231487641
2002/6/1,0.005276558,-0.649651301,-0.128276537,-0.923417704,0.076947387,-0.857987112,0.425818661,0.560128369,0.154998708,0.276177466,0,0.386043059,-0.188478896
2002/7/1,-0.269090238,-0.090293454,0.684456913,-6.091977757,-0.160641467,-1.258019726,-0.219858662,1.249944595,-0.113265524,-0.230994758,0,0.266232806,-0.232718955
2002/8/1,0.234105308,-0.120985963,-0.355847992,1.125929745,0.034380329,0.403670614,0.612382138,0.296224956,0.252610307,0.641158835,0,0.278802183,0.195939912
2002/9/1,0.250712551,0.147402218,0.527255576,4.949916027,0.119602425,1.248400261,0.13083235,-1.86521562,0.14894451,0.196627833,2.366279765,0.24419306,0.191565784
2002/10/1,0.163213731,0.151557104,-0.145784808,-0.506508166,0.060416323,-0.902694968,0.240019315,-0.166048925,0.341056492,0.192317127,5.993746164,0.239195832,1.163130361
2002/11/1,-0.043365134,-0.062568207,-0.349051854,1.386525357,-0.102920189,0.782161895,0.087843582,-1.13160474,0.123700311,0.054842279,0,0.175674884,-0.06562541
2002/12/1,0.29711431,-0.040767596,-0.495099525,-1.974504249,0.101652541,1.496065813,-0.075026188,2.455839942,-0.112417078,-0.165415447,0,0.211901561,0.437352246
2003/1/1,-0.520375929,-0.013109214,0.731112916,-4.109470277,0.057636097,-3.335058702,0.623326581,-0.750612071,0.042343135,-0.455891292,0,0.16916279,-0.842127287
2003/2/1,0.32677155,0.673027897,0.068884409,1.216810825,0.18926666,0.617006,0.336482282,0.530288483,0.046780499,0.174327559,0,0.165965438,0.147700748
2003/3/1,0.32308056,0.374781136,-0.015110559,0.715354439,0.151948639,1.526403638,0.126283886,0.931558377,0.07459114,-0.217284436,0,0.347368574,0.158017408
2003/4/1,0.540660837,0.3849148,1.136821601,-0.095343681,1.075695033,-1.362878246,0.476470753,1.709078204,-0.091222605,-0.104444817,0,0.337475739,0.141991296
2003/5/1,0.009114465,0.591673488,0.273954407,0.105052119,-0.051386767,1.287501812,0.299868895,-0.850198952,0.126937467,-0.495152047,0,0.356549982,0.085336554
