"","date_all","CPI","1 months difference ","2 months difference ","3 months difference ","4 months difference ","5 months difference ","6 months difference ","7 months difference ","8 months difference ","9 months difference ","10 months difference ","11 months difference ","12 months difference ","excluding_food_and_energy","Trimmed_mean","sticky","ar","TM","EXFD","Sticky","Baseline"
"229",2008-01-01,2.2,0.3,0.3,0.8,1.1,1.6,2.2,2.5,3,2.3,1.9,0.9,0.8,0.759560839738295,0.599761675380804,1.729367513,0.123533458976895,1.6002383246192,1.44043916026171,0.470632487,0.664923901387375
"230",2008-02-01,2.5,0,0.5,0.8,1.3,1.9,2.2,2.7,2,1.6,0.6,0.5,0.7,1.17624267922994,0.965506032557237,2.506120534,0.0975732467146672,1.53449396744276,1.32375732077006,-0.006120534,0.818717485159488
"231",2008-03-01,2.5,0.5,0.8,1.3,1.9,2.2,2.7,2,1.6,0.6,0.5,0.7,0.4,1.18224787697966,0.967488827524297,2.308235482,-0.0015362816943475,1.5325111724757,1.31775212302034,0.191764518,0.917827013568503
"232",2008-04-01,3,0.3,0.8,1.4,1.7,2.2,1.5,1.1,0.1,0,0.2,-0.1,-0.7,1.44356101844612,1.16048067469549,2.763785963,0.102825326769499,1.83951932530451,1.55643898155388,0.236214037,0.995786961898611
"233",2008-05-01,3.3,0.5,1.1,1.4,1.9,1.2,0.8,-0.2,-0.3,-0.0999999999999996,-0.4,-1,-1.1,1.6154614680292,1.21289507760943,2.899820293,0.101931816246597,2.08710492239057,1.6845385319708,0.400179707,1.09199065222584
"234",2008-06-01,3.8,0.600000000000001,0.9,1.4,0.7,0.3,-0.7,-0.8,-0.6,-0.9,-1.5,-1.6,-2,1.97122495082873,1.31036380391012,2.994235202,0.160295133296985,2.48963619608988,1.82877504917127,0.805764798,1.17470593343535
"235",2008-07-01,4.4,0.3,0.8,0.0999999999999996,-0.300000000000001,-1.3,-1.4,-1.2,-1.5,-2.1,-2.2,-2.6,-2.6,2.3627912594268,1.56209110815195,3.31310937,0.112958486454553,2.83790889184805,2.0372087405732,1.08689063,1.36864605446966
"236",2008-08-01,4.7,0.5,-0.2,-0.600000000000001,-1.6,-1.7,-1.5,-1.8,-2.4,-2.5,-2.9,-2.9,-3.1,2.49772702173795,1.54142542148391,3.277068384,0.0962576104330544,3.15857457851609,2.20227297826205,1.422931616,1.45130489828296
"237",2008-09-01,5.2,-0.7,-1.1,-2.1,-2.2,-2,-2.3,-2.9,-3,-3.4,-3.4,-3.6,-4.1,2.57100687542577,2.11093083649489,3.615663746,0.106101689335232,3.08906916350511,2.62899312457423,1.584336254,1.54255693625215
"238",2008-10-01,4.5,-0.4,-1.4,-1.5,-1.3,-1.6,-2.2,-2.3,-2.7,-2.7,-2.9,-3.4,-3,2.19066241536424,1.45202278151702,2.99449861,-0.082803178129804,3.04797721848298,2.30933758463576,1.50550139,1.58688057490608
"239",2008-11-01,4.1,-1,-1.1,-0.899999999999999,-1.2,-1.8,-1.9,-2.3,-2.3,-2.5,-3,-2.6,-2.2,1.64373691494804,1.00735755977529,2.224956643,-0.0587540709078362,3.09264244022471,2.45626308505196,1.875043357,1.4697410446181
"240",2008-12-01,3.1,-0.1,0.1,-0.2,-0.8,-0.9,-1.3,-1.3,-1.5,-2,-1.6,-1.2,-0.2,1.52955715373663,0.924111465864982,2.149099004,-0.240385752409878,2.17588853413502,1.57044284626337,0.950900996,1.37178786390098
"241",2009-01-01,3,0.2,-0.1,-0.7,-0.8,-1.2,-1.2,-1.4,-1.9,-1.5,-1.1,-0.1,0.5,1.01193266234115,0.727408350318568,1.987933323,-0.0832571240586679,2.27259164968143,1.98806733765885,1.012066677,1.18186941272678
"242",2009-02-01,3.2,-0.3,-0.9,-1,-1.4,-1.4,-1.6,-2.1,-1.7,-1.3,-0.3,0.3,-0.2,0.823777414495843,-0.0844266916565832,2.82569895,-0.0106733087184125,3.28442669165658,2.37622258550416,0.37430105,1.17382411852409
"243",2009-03-01,2.9,-0.6,-0.7,-1.1,-1.1,-1.3,-1.8,-1.4,-1,0,0.6,0.1,0.5,0.561910334671995,-0.383499125784362,2.575751937,0.0493964844611057,3.28349912578436,2.33808966532801,0.324248063,1.01531425253132
"244",2009-04-01,2.3,-0.0999999999999996,-0.5,-0.5,-0.7,-1.2,-0.8,-0.4,0.6,1.2,0.7,1.1,1.4,0.16088633753555,-0.46750565714381,2.166785174,0.0314272517698974,2.76750565714381,2.13911366246445,0.133214826,0.801481871165207
"245",2009-05-01,2.2,-0.4,-0.4,-0.6,-1.1,-0.7,-0.3,0.7,1.3,0.8,1.2,1.5,1.2,-0.00513833247343998,-0.44994592909038,2.164927354,0.0765596812330062,2.64994592909038,2.20513833247344,0.035072646,0.711897679131264
